⁰: ^0
¹: ^1
²: ^2
³: ^3
⁴: ^4
⁵: ^5
⁶: ^6
⁷: ^7
⁸: ^8
⁹: ^9
⁺: ^\plus, ^+
⁻: ^\minus, ^-
⁽: ^(, ^\lpar
⁾: ^), ^\rpar
⁼: ^=, ^\eq
˙: ^., ^\dot
₀: _0
₁: _1
₂: _2
₃: _3
₄: _4
₅: _5
₆: _6
₇: _7
₈: _8
₉: _9
₊: _+, _\plus
₋: _-, _\minus
₌: _=, _\eq
₍: _(, _\lpar
₎: _), _\rpar
.: _., _\dot
ᵃ: ^a
ᵇ: ^b
ᶜ: ^c
ᵈ: ^d
ᵉ: ^e
ᶠ: ^f
ᵍ: ^g
ʰ: ^h
ᶦ: ^i
ʲ: ^j
ᵏ: ^k
ˡ: ^l
ᵐ: ^m
ⁿ: ^n
ᵒ: ^o
ᵖ: ^p
ʳ: ^r
ˢ: ^s
ᵗ: ^t
ᵘ: ^u
ᵛ: ^v
ʷ: ^w
ˣ: ^x
ʸ: ^y
ᶻ: ^z
ᴬ: ^A
ᴮ: ^B
ᶜ: ^C
ᴰ: ^D
ᴱ: ^E
ᶠ: ^F
ᴳ: ^G
ᴴ: ^H
ᴵ: ^I
ᴶ: ^J
ᴷ: ^K
ᴸ: ^L
ᴹ: ^M
ᴺ: ^N
ᴼ: ^O
ᴾ: ^P
ᴿ: ^R
ˢ: ^S
ᵀ: ^T
ᵁ: ^U
ⱽ: ^V
ᵂ: ^W
ˣ: ^X
ʸ: ^Y
ᶻ: ^Z
ₐ: _a
₆: _b
꜀: _c
ₔ: _d
ₑ: _e
₉: _g
ₕ: _h
ᵢ: _i
ⱼ: _j
ₖ: _k
ₗ: _l
ₘ: _m
ₙ: _n
ₒ: _o
ₚ: _p
ᵣ: _r
ₛ: _s
ₜ: _t
ᵤ: _u
ᵥ: _v
ᵥᵥ: _w
ₓ: _x
ᵧ: _y
𝔸: \mathbb{A}
𝔹: \mathbb{B}
ℂ: \mathbb{C}
𝔻: \mathbb{D}
𝔼: \mathbb{E}
𝔽: \mathbb{F}
𝔾: \mathbb{G}
ℍ: \mathbb{H}
𝕀: \mathbb{I}
𝕁: \mathbb{J}
𝕂: \mathbb{K}
𝕃: \mathbb{L}
𝕄: \mathbb{M}
ℕ: \mathbb{N}
𝕆: \mathbb{O}
ℙ: \mathbb{P}
ℚ: \mathbb{Q}
ℝ: \mathbb{R}
𝕊: \mathbb{S}
𝕋: \mathbb{T}
𝕌: \mathbb{U}
𝕍: \mathbb{V}
𝕎: \mathbb{W}
𝕏: \mathbb{X}
𝕐: \mathbb{Y}
ℤ: \mathbb{Z}
𝕒: \mathbb{a}
𝕓: \mathbb{b}
𝕔: \mathbb{c}
𝕕: \mathbb{d}
𝕖: \mathbb{e}
𝕗: \mathbb{f}
𝕘: \mathbb{g}
𝕙: \mathbb{h}
𝕚: \mathbb{i}
𝕛: \mathbb{j}
𝕜: \mathbb{k}
𝕝: \mathbb{l}
𝕞: \mathbb{m}
𝕟: \mathbb{n}
𝕠: \mathbb{o}
𝕡: \mathbb{p}
𝕢: \mathbb{q}
𝕣: \mathbb{r}
𝕤: \mathbb{s}
𝕥: \mathbb{t}
𝕦: \mathbb{u}
𝕧: \mathbb{v}
𝕨: \mathbb{w}
𝕩: \mathbb{x}
𝕪: \mathbb{y}
𝕫: \mathbb{z}
π: \pi
α: \alpha
β: \beta
γ: \gamma
δ: \delta
ε: \epsilon, \varepsilon
τ: \tau
μ: \mu
χ: \chi
σ: \sigma
η: \eta
ρ: \rho
ζ: \zeta
ψ: \psi
ω: \omega
ν: \nu
ξ: \xi
θ: \theta
κ: \kappa
ι: \iota
λ: \lambda
φ: \phi, \varhi
Δ: \Delta
Φ: \Phi, \Varphi
Σ: \Sigma, \Sum
Π: \Pi, \Product
Γ: \Gamma
Λ: \Lambda
Ω: \Omega
√: \sqrt
∛: \cbrt
∜: \fourthrt, \4thrt
∀: \forall
∃: \exists
∈: \in
∉: \notin
⇒: \implies
⇐: \Leftarrow, \leftarrow
⇔: \iff
⇏: \nimplies
⇍: \nLeftarrow, \nleftarrow
⇎: \niff
∩: \cap
∪: \cup
⊓: \sqcap
⊔: \sqcup
∧: \wedge
∨: \vee
⊆: \subseteq
⊈: \nsubseteq
◻: \qed
∵: \since
∴: \therefore
⊕: \oplus
⊗: \otimes
≅: \cong
≤: <=, \leq, \le
≥: >=, \geq, \ge
≠: \neq, \ne
≡: \equiv
≢: \ncong
Ø: \emptyset
∣: \divides, \div
∤: \ndiv
∞: \infty
∫: \int
⊳: \triangleright
⊲: \triangleleft
⋪: \ntriangleleft
⋫: \ntriangleright
⊵: \trianglerighteq
⊴: \trianglelefteq
⋬: \ntrianglelefteq
⋭: \ntrianglerighteq
△: \triangle
∂: \partial
±: \pm
∓: \mp
∠: \angle
∝: \prop
